period,respondent,fueltype,value
2021-01-29T09,ERCO,WND,17447
2021-01-29T10,ERCO,WND,18065
2021-01-29T11,ERCO,WND,18052
2021-01-29T12,ERCO,WND,17967
2021-01-29T13,ERCO,WND,18063
2021-01-29T14,ERCO,WND,17821
2021-01-29T15,ERCO,WND,17120
2021-01-29T16,ERCO,WND,15191
2021-01-29T17,ERCO,WND,15913
2021-01-29T18,ERCO,WND,16064
2021-01-29T19,ERCO,WND,15204
2021-01-29T20,ERCO,WND,15547
2021-01-29T21,ERCO,WND,15777
2021-01-29T22,ERCO,WND,15836
2021-01-29T23,ERCO,WND,15627
