period,respondent,fueltype,value
2021-01-22T16,ERCO,SUN,3037
2021-01-22T17,ERCO,SUN,3398
2021-01-22T18,ERCO,SUN,3305
2021-01-22T19,ERCO,SUN,3253
2021-01-22T20,ERCO,SUN,3311
2021-01-22T21,ERCO,SUN,3505
2021-01-22T22,ERCO,SUN,3539
2021-01-22T23,ERCO,SUN,3135
2021-01-23T00,ERCO,SUN,1042
2021-01-23T01,ERCO,SUN,8
2021-01-23T02,ERCO,SUN,0
2021-01-23T03,ERCO,SUN,0
2021-01-23T04,ERCO,SUN,0
2021-01-23T05,ERCO,SUN,0
2021-01-23T06,ERCO,SUN,0
2021-01-23T07,ERCO,SUN,0
2021-01-23T08,ERCO,SUN,0
2021-01-23T09,ERCO,SUN,0
2021-01-23T10,ERCO,SUN,0
2021-01-23T11,ERCO,SUN,0
2021-01-23T12,ERCO,SUN,0
2021-01-23T13,ERCO,SUN,0
2021-01-23T14,ERCO,SUN,1
2021-01-23T15,ERCO,SUN,164
2021-01-23T16,ERCO,SUN,683
2021-01-23T17,ERCO,SUN,1379
2021-01-23T18,ERCO,SUN,2209
2021-01-23T19,ERCO,SUN,2762
2021-01-23T20,ERCO,SUN,2800
2021-01-23T21,ERCO,SUN,2742
2021-01-23T22,ERCO,SUN,2612
2021-01-23T23,ERCO,SUN,2023
2021-01-24T00,ERCO,SUN,558
2021-01-24T01,ERCO,SUN,5
2021-01-24T02,ERCO,SUN,0
2021-01-24T03,ERCO,SUN,0
2021-01-24T04,ERCO,SUN,0
2021-01-24T05,ERCO,SUN,0
2021-01-24T06,ERCO,SUN,0
2021-01-24T07,ERCO,SUN,0
2021-01-24T08,ERCO,SUN,0
2021-01-24T09,ERCO,SUN,0
2021-01-24T10,ERCO,SUN,0
2021-01-24T11,ERCO,SUN,0
2021-01-24T12,ERCO,SUN,0
2021-01-24T13,ERCO,SUN,0
2021-01-24T14,ERCO,SUN,1
2021-01-24T15,ERCO,SUN,230
2021-01-24T16,ERCO,SUN,903
2021-01-24T17,ERCO,SUN,1668
2021-01-24T18,ERCO,SUN,2422
2021-01-24T19,ERCO,SUN,2563
